,SampleID,LTER_Site,Reef_Type,CoralID,Date,Month,Year,Date_Long,Date_Longer,Location
63,3_5_BAK_ACR_209_A18,3.5,BAK,209,A18,August,2018,Aug-18,August 2018 (Before),East
64,4_BAK_ACR_254_A18,4,BAK,254,A18,August,2018,Aug-18,August 2018 (Before),East
65,3_5_BAK_ACR_273_A18,3.5,BAK,273,A18,August,2018,Aug-18,August 2018 (Before),East
66,4_BAK_ACR_276_A18,4,BAK,276,A18,August,2018,Aug-18,August 2018 (Before),East
67,3_5_BAK_ACR_279_A18,3.5,BAK,279,A18,August,2018,Aug-18,August 2018 (Before),East
68,3_BAK_ACR_432_A18,3,BAK,432,A18,August,2018,Aug-18,August 2018 (Before),East
69,5_BAK_ACR_593_A18,5,BAK,593,A18,August,2018,Aug-18,August 2018 (Before),West
70,1_BAK_ACR_64_M20,1,BAK,64,M20,March,2020,Mar-20,March 2020 (1 Year Later),North
71,2_BAK_ACR_115_M20,2,BAK,115,M20,March,2020,Mar-20,March 2020 (1 Year Later),North
72,2_BAK_ACR_117_M20,2,BAK,117,M20,March,2020,Mar-20,March 2020 (1 Year Later),North
73,2_BAK_ACR_118_M20,2,BAK,118,M20,March,2020,Mar-20,March 2020 (1 Year Later),North
74,2_BAK_ACR_134_M20,2,BAK,134,M20,March,2020,Mar-20,March 2020 (1 Year Later),North
75,5_5_BAK_ACR_188_M20,5.5,BAK,188,M20,March,2020,Mar-20,March 2020 (1 Year Later),West
76,3_5_BAK_ACR_209_M20,3.5,BAK,209,M20,March,2020,Mar-20,March 2020 (1 Year Later),East
77,4_BAK_ACR_254_M20,4,BAK,254,M20,March,2020,Mar-20,March 2020 (1 Year Later),East
78,3_5_BAK_ACR_273_M20,3.5,BAK,273,M20,March,2020,Mar-20,March 2020 (1 Year Later),East
79,4_BAK_ACR_579_M20,4,BAK,579,M20,March,2020,Mar-20,March 2020 (1 Year Later),East
80,5_BAK_ACR_289_M20,5,BAK,289,M20,March,2020,Mar-20,March 2020 (1 Year Later),West
81,5_BAK_ACR_593_M20,5,BAK,593,M20,March,2020,Mar-20,March 2020 (1 Year Later),West
82,5_BAK_ACR_589_M19,5,BAK,589,M19,March,2019,Mar-19,March 2019 (During),West
83,5_BAK_ACR_593_M19,5,BAK,593,M19,March,2019,Mar-19,March 2019 (During),West
84,5_BAK_ACR_589_A19,5,BAK,589,A19,August,2019,Aug-19,August 2019 (After),West
85,5_BAK_ACR_593_A19,5,BAK,593,A19,August,2019,Aug-19,August 2019 (After),West
86,NC_1,NC,1,NA,NA,NA,NA,NA NA,NA,NA
87,NC_2,NC,2,NA,NA,NA,NA,NA NA,NA,NA
88,NC_3,NC,3,NA,NA,NA,NA,NA NA,NA,NA
89,NC_4,NC,4,NA,NA,NA,NA,NA NA,NA,NA
