"","SampleID","X","LTER_Site","Reef_Type","CoralID","Date","Month","Year","Date_Long","Date_Longer","Location","quant_reading","Sample_or_Control","is.neg","Chao1","se.chao1","Shannon"
"1","0_BAK_ACR_53_A18","46","0","BAK"," 53","A18","August","2018","August 2018","August 2018 (Before)","North","22.80","Sample","FALSE",7,0,0.312685676002956
"2","0_BAK_ACR_53_A19","25","0","BAK"," 53","A19","August","2019","August 2019","August 2019 (After)","North","13.50","Sample","FALSE",4,0,0.0306932924180005
"3","0_BAK_ACR_53_M19"," 2","0","BAK"," 53","M19","March","2019","March 2019","March 2019 (During)","North","11.20","Sample","FALSE",16,5.97357462077775,0.533129298234507
"4","0_BAK_ACR_66_A18","49","0","BAK"," 66","A18","August","2018","August 2018","August 2018 (Before)","North","55.60","Sample","FALSE",10.3333333333333,0.915919647826376,0.188960319543954
"5","0_BAK_ACR_66_M19"," 3","0","BAK"," 66","M19","March","2019","March 2019","March 2019 (During)","North","13.10","Sample","FALSE",7,0.462910049886276,0.486368756940501
"6","0_FOR_ACR_50_A18","45","0","FOR"," 50","A18","August","2018","August 2018","August 2018 (Before)","North","22.40","Sample","FALSE",14,1.80442577596098,0.187445576720428
"7","0_FOR_ACR_50_M19"," 1","0","FOR"," 50","M19","March","2019","March 2019","March 2019 (During)","North","30.40","Sample","FALSE",7,0.462910049886276,0.199648240278358
"8","1_BAK_ACR_64_A18","48","1","BAK"," 64","A18","August","2018","August 2018","August 2018 (Before)","North","34.20","Sample","FALSE",6,0,0.795256084722674
"9","1_BAK_ACR_64_A19","26","1","BAK"," 64","A19","August","2019","August 2019","August 2019 (After)","North"," 7.72","Sample","FALSE",4,0,0.0346851914550212
"10","1_BAK_ACR_64_M19"," 5","1","BAK"," 64","M19","March","2019","March 2019","March 2019 (During)","North","13.70","Sample","FALSE",28,13.5988444887267,0.714737052150393
"11","1_BAK_ACR_64_M20","70","1","BAK"," 64","M20","March","2020","March 2020","March 2020 (1 Year Later)","North","17.80","Sample","FALSE",4,0,0.0618664221344618
"12","1_BAK_ACR_94_A18","50","1","BAK"," 94","A18","August","2018","August 2018","August 2018 (Before)","North","55.00","Sample","FALSE",12,4.47911821679223,0.316445705131852
"13","1_BAK_ACR_94_A19","27","1","BAK"," 94","A19","August","2019","August 2019","August 2019 (After)","North","18.40","Sample","FALSE",4,0,0.0845089502520225
"14","1_BAK_ACR_94_M19"," 6","1","BAK"," 94","M19","March","2019","March 2019","March 2019 (During)","North","12.30","Sample","FALSE",7,0,0.815405986524128
