"","input","filtered","denoisedF","denoisedR","merged","nonchim","nometa","nobact","SampleID"
"5_BAK_ACR_593_A18",199164,166201,165687,165851,152379,114588,114588,114588,"5_BAK_ACR_593_A18"
"1_FOR_ACR_64_M20",210443,173119,172970,173082,170148,164623,164621,164621,"1_FOR_ACR_64_M20"
"2_BAK_ACR_115_M20",285060,229248,229092,229029,226265,180779,141364,141364,"2_BAK_ACR_115_M20"
"2_BAK_ACR_117_M20",208316,169013,168496,168494,155767,113141,113093,113093,"2_BAK_ACR_117_M20"
"2_BAK_ACR_118_M20",255869,215735,215550,215300,210839,200901,200901,200901,"2_BAK_ACR_118_M20"
"2_BAK_ACR_134_M20",221336,185823,185136,185410,176172,141544,141544,141544,"2_BAK_ACR_134_M20"
"5_5_BAK_ACR_188_M20",251399,209218,208643,208753,192090,149048,149048,149048,"5_5_BAK_ACR_188_M20"
"3_5_BAK_ACR_3_5_M20",163027,127095,126789,126736,114877,93406,93406,93406,"3_5_BAK_ACR_3_5_M20"
"4_BAK_ACR_254_M20",223556,189978,189307,189535,175214,138593,138593,138593,"4_BAK_ACR_254_M20"
"3_5_BAK_ACR_273_M20",226950,191459,190734,191187,174432,136847,136847,136847,"3_5_BAK_ACR_273_M20"
"4_BAK_ACR_579_M20",230661,193993,193258,193589,177344,125748,125748,125748,"4_BAK_ACR_579_M20"
"5_BAK_ACR_289_M20",212487,177035,176251,176620,161972,127694,127694,127694,"5_BAK_ACR_289_M20"
"5_BAK_ACR_593_M20",231676,193265,191957,192921,176532,136194,136194,136194,"5_BAK_ACR_593_M20"
"5_BAK_ACR_589_M19",308069,253118,252476,252963,232758,174843,174843,174843,"5_BAK_ACR_589_M19"
"5_BAK_ACR_593_M19",211049,175523,175170,175051,161055,117190,117190,117190,"5_BAK_ACR_593_M19"
"5_BAK_ACR_589_A19",186611,148386,148021,147864,141827,90116,90116,90116,"5_BAK_ACR_589_A19"
"5_BAK_ACR_593_A19",222152,185477,185080,184905,171848,124360,124360,124360,"5_BAK_ACR_593_A19"
"NC_1",1106,447,437,442,420,349,349,349,"NC_1"
"NC_2",396,87,83,80,75,75,75,75,"NC_2"
"NC_3",867,508,476,478,399,366,366,366,"NC_3"
"NC_4",172,71,65,68,65,65,65,65,"NC_4"
